id,year,violent,murder,robbery,prisoners,afam,cauc,male,population,income,density,law,State__alabama,State__alaska,State__albama,State__arizona,State__arkansas,State__california,State__colorado,State__connecticut,State__delaware,State__district of columbia,State__florida,State__georgia,State__hawaii,State__idaho,State__illinois,State__indiana,State__iowa,State__kansas,State__kentucky,State__louisiana,State__maine,State__maryland,State__massachusetts,State__michigan,State__minnesota,State__mississippi,State__missouri,State__montana,State__nebraska,State__nevada,State__new hampshire,State__new jersey,State__new mexico,State__new york,State__north carolina,State__north dakota,State__ohio,State__oklahoma,State__oregon,State__pennsylvania,State__rhode island,State__south carolina,State__south dakota,State__tennessee,State__texas,State__utah,State__vermont,State__virginia,State__washington,State__west virginia,State__wisconsin,State__wyoming
11,1987,559.2,9.3,112.2,283.0,8.592103,54.3877,16.2823,4.015257,11323.82,0.07909189999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1988,558.6,9.9,117.8,307.0,8.618144000000001,54.23505,15.9927,4.023848,11654.96,0.07926110000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1989,590.8,10.2,133.9,300.0,8.638031,54.066219999999994,15.675229999999999,4.030224,13704.587200188844,0.07938669999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1990,708.6,11.6,143.7,328.0,8.699674,56.070159999999994,15.3807,4.048508,13704.587200188844,0.07977360000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1991,844.2,11.5,152.8,370.0,8.771641,55.973530000000004,15.18314,4.091025,13704.587200188844,0.08061130000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1992,871.7,11.0,164.9,394.0,8.877969,55.80951999999999,15.02558,4.1392690000000005,13704.587200188844,0.081562,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1993,780.4,11.6,159.5,407.0,8.972758,55.660759999999996,14.862960000000001,4.193114,13704.587200188844,0.0826229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1994,683.7,11.9,171.2,431.0,9.047583,55.507830000000006,14.677439999999999,4.232965,13704.587200188844,0.0834082,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1995,632.4,11.2,185.8,450.0,9.094921000000001,55.331869999999995,14.54549,4.262731,13704.587200188844,0.0839947,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1996,565.4,10.0,167.0,471.0,9.14942,55.3142,14.41802,4.2904029999999995,13704.587200188844,0.08454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1997,564.5,9.9,160.5,492.0,9.206091,55.15971999999999,14.307329999999999,4.320281,13704.587200188844,0.08512869999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1998,512.1,8.1,130.9,500.0,9.257586,55.25745,14.169839999999999,4.351037,13704.587200188844,0.0857347,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1999,490.2,7.9,121.2,519.0,9.331416,55.29781,14.0052,4.369862,13737.26,0.08610570000000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1977,443.2,10.8,96.8,63.0,7.835672,62.1413,22.35269,0.403437,20296.83,0.0007082999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1978,441.9,12.9,91.3,75.0,7.945618,62.650090000000006,22.056060000000002,0.404764,19044.99,0.0007106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1979,491.1,13.3,109.6,127.0,8.057296000000001,63.09599,21.97401,0.402753,18115.89,0.0007071000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1980,436.0,8.9,81.8,133.0,8.123558000000001,62.7206,21.55065,0.40531500000000004,17901.66,0.0007099999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1981,615.8,14.6,114.6,143.0,8.153878,62.803709999999995,21.01661,0.418488,18075.23,0.0007331000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1982,623.7,18.5,133.8,170.0,8.149488999999999,62.89593000000001,20.32379,0.449611,18967.13,0.0007876000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1983,613.8,13.8,97.1,194.0,8.114173,62.869640000000004,19.54211,0.488417,19045.0,0.0008556000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1984,621.6,11.6,109.4,219.0,8.094755000000001,62.414280000000005,18.85155,0.513703,18590.22,0.0008999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1985,581.8,9.8,92.9,252.0,8.05383,61.882619999999996,18.22919,0.532492,18705.2,0.0009327999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1986,570.4,8.6,88.0,288.0,8.0824,61.2697,17.81123,0.544269,17906.39,0.0009535,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1987,455.4,10.1,73.1,306.0,8.185459,60.43926999999999,17.49717,0.5393100000000001,16955.92,0.0009448000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1988,522.8,5.7,72.9,339.0,8.39216,60.093509999999995,17.20629,0.541982,16740.64,0.0009494999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1989,497.7,8.0,67.6,355.0,8.556108,59.824040000000004,17.133779999999998,0.547153,17285.38,0.0009585,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1990,524.5,7.5,76.7,361.0,8.630677,60.08334,16.99975,0.55312,17311.88,0.0009697000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1991,613.9,7.4,113.2,348.0,8.526665,60.35909,16.56165,0.5692729999999999,17005.98,0.0009981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1992,660.5,7.5,109.0,345.0,8.534543,60.755480000000006,16.34584,0.587073,16978.23,0.0010293,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1993,760.8,9.0,122.4,327.0,8.630754,60.760180000000005,16.19282,0.596993,17067.91,0.0010467,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1994,766.3,6.3,146.2,446.0,8.593396,60.87201999999999,15.975389999999999,0.6006239999999999,16970.02,0.001053,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1995,770.9,9.1,155.1,317.0,8.624999,61.200480000000006,15.75818,0.601345,16871.89,0.0010543,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1996,727.7,7.4,117.0,338.0,8.75226,61.23177,15.8195,0.6049180000000001,16546.19,0.0010606,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1997,701.1,8.9,106.4,383.0,8.834417,61.009190000000004,15.984829999999999,0.608846,16816.68,0.0010675,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1998,653.9,6.7,86.6,420.0,8.933932,60.74545,16.30562,0.615205,13704.587200188844,0.0010785999999999999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1999,631.5,8.6,91.4,413.0,8.986603,60.55464,16.6318,0.6195,13704.587200188844,0.0010860999999999998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1977,494.2,9.5,138.2,125.0,3.4364220000000003,66.61958,18.72813,2.4251970000000003,13704.587200188844,0.021383000000000003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1978,552.1,9.4,162.9,129.0,3.4574160000000003,66.48782,18.48919,2.515318,13704.587200188844,0.0221776,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1979,593.0,8.9,175.7,146.0,3.473442,66.49958000000001,18.28485,2.63557,13704.587200188844,0.023237900000000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1980,650.9,10.3,193.6,139.0,3.5928089999999995,66.15736,18.0928,2.7377740000000004,13704.587200188844,0.0241197,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1981,575.8,8.1,177.6,160.0,3.557633,66.35718,17.994989999999998,2.810127,13704.587200188844,0.0247571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1982,517.0,8.3,158.6,184.0,3.5881260000000004,66.18365,17.79727,2.8898650000000004,13704.587200188844,0.0254596,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1983,494.2,7.2,132.4,209.0,3.6225870000000002,65.86686999999999,17.581329999999998,2.968928,13704.587200188844,0.026156099999999998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1984,516.1,7.8,131.1,223.0,3.6446959999999997,65.58672,17.30715,3.067142,13704.587200188844,0.0270214,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1985,602.5,8.0,146.5,247.0,3.6738410000000004,65.33994,17.0261,3.183535,13704.587200188844,0.0280468,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1986,658.3,9.3,169.2,256.0,3.7280599999999997,65.11162,16.73828,3.3082620000000005,13704.587200188844,0.029145599999999997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1987,612.6,7.5,138.4,268.0,3.784642,64.77774000000001,16.45066,3.437102,13704.587200188844,0.0302807,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1988,610.1,8.5,137.0,307.0,3.844388,64.44434,16.15664,3.5351790000000003,13704.587200188844,0.031144799999999997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1989,599.6,6.7,139.0,328.0,3.903289,63.91225,15.895170000000002,3.622176,13704.587200188844,0.0319112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1990,652.4,7.7,160.9,350.0,3.9642510000000004,64.84599,15.651570000000001,3.6790559999999997,13704.587200188844,0.032374099999999996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1991,670.7,7.8,165.7,375.0,4.026212999999999,64.48261,15.326170000000001,3.762394,13704.587200188844,0.0331074,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1992,670.8,8.1,153.1,396.0,4.067532,64.29301,15.064020000000001,3.8673330000000004,13704.587200188844,0.03403080000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1993,715.0,8.6,162.9,409.0,4.107062,64.02615,14.84015,3.99339,13704.587200188844,0.0351401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1994,703.1,10.5,162.0,430.0,4.1611199999999995,64.19139,14.63248,4.1475610000000005,13704.587200188844,0.0364967,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1995,713.5,10.4,173.8,459.0,4.210515,64.04899,14.524529999999999,4.306908,13704.587200188844,0.037898900000000006,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1996,631.5,8.5,167.8,473.0,4.258865,63.88958,14.44164,4.432308,13704.587200188844,0.0390024,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1997,623.7,8.2,165.7,479.0,4.313578,64.03395,14.378670000000001,4.552207,13704.587200188844,0.0400574,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1998,577.9,8.1,165.2,484.0,4.3170779999999995,63.871930000000006,14.36154,4.6672769999999995,13704.587200188844,0.041069999999999995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1999,551.2,8.0,152.5,507.0,4.3435239999999995,63.804359999999996,14.366539999999999,4.778332,13704.587200188844,0.0420472,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1977,322.9,8.8,83.2,115.0,5.325915,59.497330000000005,17.29585,2.2090099999999997,13704.587200188844,0.0425259,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1978,344.1,9.1,80.0,111.0,5.2947120000000005,59.49071,17.09856,2.243125,13704.587200188844,0.0431827,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1979,366.2,9.1,74.6,115.0,5.256688,59.472559999999994,16.902,2.2713349999999997,13704.587200188844,0.0437258,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1980,335.2,9.2,80.9,132.0,5.301,59.408719999999995,16.77785,2.288738,13704.587200188844,0.0439483,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1981,310.3,9.1,77.4,128.0,5.363085,59.39111,16.70277,2.293195,13704.587200188844,0.0440339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1982,324.7,8.2,78.8,143.0,5.396681,59.34016999999999,16.57396,2.294262,13704.587200188844,0.0440543,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1983,297.7,7.6,69.3,166.0,5.4121559999999995,59.31244,16.41476,2.3057540000000003,13704.587200188844,0.044275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1984,321.4,7.5,67.6,179.0,5.429969,59.3006,16.23451,2.3197740000000002,13704.587200188844,0.04454419999999999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1985,347.6,7.9,68.5,188.0,5.448844,59.188480000000006,16.04804,2.327044,13704.587200188844,0.0446838,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1986,394.8,8.1,79.7,195.0,5.453926,59.12255,15.810270000000001,2.3319900000000002,13704.587200188844,0.0447788,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1987,412.0,7.6,79.1,198.0,5.4689309999999995,59.08031,15.593079999999999,2.342359,13704.587200188844,0.0449779,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
